betId,marketId,matchName,playerName,side,odds,stake,liability,action,reason,placedAt,settledAt,pnl,dryRun,estimatedWinPnL,estimatedLossPnL
DRY-1778763219160-7787,1.258163061,Barbora Krejcikova v Viktorija Golubic,Barbora Krejcikova,BACK,1.53,2,2,DRY_WIN,Match finished — won,2026-05-14T12:53:39.160Z,2026-05-14T13:27:09.104Z,1.06,true,1.06,-2
DRY-1778763219289-7959,1.258163061,Barbora Krejcikova v Viktorija Golubic,Barbora Krejcikova,BACK,1.53,2,2,DRY_WIN,Match finished — won,2026-05-14T12:53:39.289Z,2026-05-14T13:27:09.104Z,1.06,true,1.06,-2
DRY-1778766429226-7310,1.258134631,Titouan Droguet v Terence Atmane,Terence Atmane,LAY,1.39,2,0.78,BET_PLACED,"Strat3h: set 1 complete 6-7 (fav @ 1.99 pre-match), lay playerB @ 1.39",2026-05-14T13:47:09.227Z,,,true,2,-0.78
DRY-1778766429261-6979,1.258134631,Titouan Droguet v Terence Atmane,Titouan Droguet,BACK,3.55,2,2,BET_PLACED,"Strat9: set 1 complete 6-7 (fav @ 1.99 pre-match), back playerA @ 3.55",2026-05-14T13:47:09.262Z,,,true,5.1,-2
DRY-1778766604247-4504,1.258139582,Sorana Cirstea  v Coco Gauff,Sorana Cirstea,BACK,4.8,2,2,BET_PLACED,"Strat9: set 1 complete 4-6 (fav @ 3.30 pre-match), back playerA @ 4.8",2026-05-14T13:50:04.247Z,,,true,7.6,-2
DRY-1778766604247-4504,1.258139582,Sorana Cirstea  v Coco Gauff,Sorana Cirstea,BACK,4.8,2,2,DRY_LOSS,Match finished — lost,2026-05-14T13:50:04.247Z,2026-05-14T13:58:39.316Z,-2,true,7.6,-2
DRY-1778766429226-7310,1.258134631,Titouan Droguet v Terence Atmane,Terence Atmane,LAY,1.39,2,0.78,TRADE_OUT,Set 2 result hedge,2026-05-14T13:47:09.227Z,2026-05-14T14:15:04.421Z,0.99,true,2,-0.78
DRY-1778768104463-5064,1.258134631,Titouan Droguet v Terence Atmane,Titouan Droguet,BACK,1.55,2,2,BET_PLACED,"Strat7: set 2 complete 6-1 (fav @ 1.97 pre-match), back playerA @ 1.55",2026-05-14T14:15:04.464Z,,,true,1.1,-2
DRY-1778768104514-1335,1.258134631,Titouan Droguet v Terence Atmane,Titouan Droguet,BACK,1.55,2,2,BET_PLACED,"Strat11: set 2 complete 6-1 (fav @ 1.97 pre-match), back playerA @ 1.55",2026-05-14T14:15:04.515Z,,,true,1.1,-2
DRY-1778768104562-4430,1.258134631,Titouan Droguet v Terence Atmane,Titouan Droguet,BACK,1.55,2,2,BET_PLACED,"Strat12: set 2 complete 6-1 (fav @ 1.97 pre-match), back playerA @ 1.55",2026-05-14T14:15:04.562Z,,,true,1.1,-2
DRY-1778763928952-1535,1.258160012,Dusan Lajovic v Daniel Altmaier,Dusan Lajovic,BACK,1.96,2,2,DRY_WIN,Match finished — won,2026-05-14T13:05:28.954Z,2026-05-14T14:21:59.454Z,1.92,true,1.92,-2
DRY-1778766429261-6979,1.258134631,Titouan Droguet v Terence Atmane,Titouan Droguet,BACK,3.55,2,2,DRY_WIN,Match finished — won,2026-05-14T13:47:09.262Z,2026-05-14T14:43:39.613Z,5.1,true,5.1,-2
DRY-1778768104463-5064,1.258134631,Titouan Droguet v Terence Atmane,Titouan Droguet,BACK,1.55,2,2,DRY_WIN,Match finished — won,2026-05-14T14:15:04.464Z,2026-05-14T14:43:39.616Z,1.1,true,1.1,-2
DRY-1778768104514-1335,1.258134631,Titouan Droguet v Terence Atmane,Titouan Droguet,BACK,1.55,2,2,DRY_WIN,Match finished — won,2026-05-14T14:15:04.515Z,2026-05-14T14:43:39.616Z,1.1,true,1.1,-2
DRY-1778768104562-4430,1.258134631,Titouan Droguet v Terence Atmane,Titouan Droguet,BACK,1.55,2,2,DRY_WIN,Match finished — won,2026-05-14T14:15:04.562Z,2026-05-14T14:43:39.617Z,1.1,true,1.1,-2
DRY-1778773985059-7929,1.258169893,Camilo Ugo Carabelli v Matteo Berrettini,Camilo Ugo Carabelli,LAY,1.35,2,0.7,BET_PLACED,"Strat1h: set 1 complete 7-6 (fav @ 1.73 pre-match), lay playerA @ 1.35",2026-05-14T15:53:05.059Z,,,true,2,-0.7
DRY-1778773985059-7929,1.258169893,Camilo Ugo Carabelli v Matteo Berrettini,Camilo Ugo Carabelli,LAY,1.35,2,0.7,DRY_LOSS,Match finished — lost,2026-05-14T15:53:05.059Z,2026-05-14T16:32:29.074Z,-0.7,true,2,-0.7
